abstract_id,pmid,title,entities,relations
1,33508184,Targeting Pancreatic Ductal Adenocarcinoma (PDAC).,4,2
2,35578724,KIF22 Promotes Development of Pancreatic Cancer by Regulating the MEK/ERK/P21 Signaling Axis.,13,13
3,42017925,Alpha-Fetoprotein Is a Potential Biomarker for Pancreatic Ductal Adenocarcinoma (PDAC): A Case Report.,13,17
4,36812168,Transcriptomic analysis of pancreatic adenocarcinoma specimens obtained from Black and White patients.,8,6
5,40012027,Pancreatic Ductal Adenocarcinoma (PDAC): Clinical Progress in the Last Five Years.,7,3
6,34830745,Simple Serum Pancreatic Ductal Adenocarcinoma (PDAC) Protein Biomarkers:Is There Anything in Sight?,7,3
7,35909243,Does acute pancreatitis herald pancreatic ductal adenocarcinoma? A multicenter electronic health research network study.,5,1
8,33581689,Long non-coding RNA CERS6-AS1 facilitates the oncogenicity of pancreatic ductal adenocarcinoma by regulating the microRNA-15a-5p/FGFR1 axis.,8,14
9,36457017,Multidrug resistance genes screening of pancreatic ductal adenocarcinoma based on sensitivity profile to chemotherapeutic drugs.,17,4
10,35954379,Histone Deacetylase Inhibitors Restore Cancer Cell Sensitivity towards T Lymphocytes Mediated Cytotoxicity in Pancreatic Cancer.,12,1
