abstract_id,drs
1,"[A] predicate(A,exist,named(Disease_MESH_D010190))-1/4
[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D000093542))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C000627770))-1/4
[A] predicate(A,treat,named(Chemical_MESH_D000093542),named(Disease_MESH_D010190))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C000627770),named(Disease_MESH_D010190))-1/6"
2,"[A] predicate(A,exist,named(Gene_3835))-1/4
[A] predicate(A,exist,named(Disease_MESH_D010190))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C070243))-1/4
[A] predicate(A,exist,named(Gene_5604))-1/4
[A] predicate(A,exist,named(Gene_5605))-1/4
[A] predicate(A,exist,named(Gene_5595))-1/4
[A] predicate(A,exist,named(Gene_5594))-1/4
[A] predicate(A,exist,named(Gene_1033))-1/4
[A] predicate(A,exist,named(Gene_1026))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0480))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0428))-1/4
[A] predicate(A,exist,named(Gene_5609))-1/4
[A] predicate(A,associate_with,named(Gene_3835),named(Disease_MESH_D010190))-1/6
[A] predicate(A,associate_with,named(Gene_5609),named(Disease_MESH_D010190))-1/6
[A] predicate(A,associate_with,named(Gene_5594),named(Disease_MESH_D010190))-1/6
[A] predicate(A,associate_with,named(Gene_1026),named(Disease_MESH_D010190))-1/6
[A] predicate(A,associate_with,named(Gene_1026),named(Gene_3835))-1/6
[A] predicate(A,associate_with,named(Gene_1026),named(Gene_5609))-1/6
[A] predicate(A,associate_with,named(Gene_1026),named(Gene_5594))-1/6
[A] predicate(A,associate_with,named(Gene_1033),named(Gene_3835))-1/6
[A] predicate(A,associate_with,named(Gene_3835),named(Gene_5604))-1/6
[A] predicate(A,associate_with,named(Gene_3835),named(Gene_5605))-1/6
[A] predicate(A,associate_with,named(Gene_3835),named(Gene_5609))-1/6
[A] predicate(A,associate_with,named(Gene_3835),named(Gene_5594))-1/6
[A] predicate(A,associate_with,named(Gene_3835),named(Gene_5595))-1/6"
3,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Disease_MESH_D007565))-1/4
[A] predicate(A,exist,named(Disease_MESH_D003967))-1/4
[A] predicate(A,exist,named(Disease_MESH_D015431))-1/4
[A] predicate(A,exist,named(Disease_MESH_D001660))-1/4
[A] predicate(A,exist,named(Disease_MESH_D041781))-1/4
[A] predicate(A,exist,named(Gene_174))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D000093542))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D000069287))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C582435))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C560077))-1/4
[A] predicate(A,associate_with,named(Disease_MESH_D001660),named(Gene_174))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_174))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D041781),named(Gene_174))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D007565),named(Gene_174))-1/6
[A] predicate(A,cause,named(Chemical_MESH_D000069287),named(Disease_MESH_D003967))-1/6
[A] predicate(A,cause,named(Chemical_MESH_D000093542),named(Disease_MESH_D003967))-1/6
[A] predicate(A,cause,named(Chemical_MESH_D000093542),named(Disease_MESH_D015431))-1/6
[A] predicate(A,cotreat_with,named(Chemical_MESH_D000069287),named(Chemical_MESH_D000093542))-1/6
[A] predicate(A,cotreat_with,named(Chemical_MESH_C582435),named(Chemical_MESH_C560077))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D000069287),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D000093542),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D000093542),named(Disease_MESH_D007565))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C582435),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C582435),named(Disease_MESH_D003967))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C582435),named(Disease_MESH_D015431))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C560077),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_C560077),named(Disease_MESH_D003967))-1/6"
4,"[A] predicate(A,exist,named(Disease_MESH_D010190))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,exist,named(Gene_7103))-1/4
[A] predicate(A,exist,named(Gene_10631))-1/4
[A] predicate(A,exist,named(Gene_10551))-1/4
[A] predicate(A,exist,named(Gene_7031))-1/4
[A] predicate(A,exist,named(Gene_1356))-1/4
[A] predicate(A,associate_with,named(Disease_MESH_D009369),named(Gene_7103))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D010190),named(Gene_1356))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D010190),named(Gene_7103))-1/6
[A] predicate(A,stimulate,named(Disease_MESH_D010190),named(Gene_10551))-1/6
[A] predicate(A,stimulate,named(Disease_MESH_D010190),named(Gene_10631))-1/6
[A] predicate(A,stimulate,named(Disease_MESH_D010190),named(Gene_7031))-1/6"
5,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Gene_3604))-1/4
[A] predicate(A,exist,named(Gene_3569))-1/4
[A] predicate(A,exist,named(Gene_3845))-1/4
[A] predicate(A,exist,named(Gene_653108))-1/4
[A] predicate(A,exist,named(Variant_3845_pG12C))-1/4
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_3604))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_3569))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_653108))-1/6"
6,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D004194))-1/4
[A] predicate(A,exist,named(Disease_MESH_D007249))-1/4
[A] predicate(A,exist,named(Disease_MESH_D001778))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C032881))-1/4
[A] predicate(A,exist,named(Gene_7058))-1/4
[A] predicate(A,exist,named(Gene_5168))-1/4
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Chemical_MESH_C032881))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_7058))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_5168))-1/6"
7,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D050500))-1/4
[A] predicate(A,exist,named(Disease_MESH_D010195))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D000438))-1/4
[A] predicate(A,cause,named(Chemical_MESH_D000438),named(Disease_MESH_D010195))-1/6"
8,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D001943))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Gene_406948))-1/4
[A] predicate(A,exist,named(Gene_100861402))-1/4
[A] predicate(A,exist,named(Gene_253782))-1/4
[A] predicate(A,exist,named(Gene_2260))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,associate_with,named(Disease_MESH_D001943),named(Gene_253782))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D001943),named(Gene_100861402))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_253782))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_100861402))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_2260))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D021441),named(Gene_406948))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D009369),named(Gene_253782))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D009369),named(Gene_2260))-1/6
[A] predicate(A,associate_with,named(Disease_MESH_D009369),named(Gene_406948))-1/6
[A] predicate(A,associate_with,named(Gene_100861402),named(Gene_406948))-1/6
[A] predicate(A,associate_with,named(Gene_2260),named(Gene_406948))-1/6
[A] predicate(A,interact_with,named(Gene_253782),named(Gene_406948))-1/6
[A] modifier_adv(A,positively,pos)-1/4,predicate(A,correlate_with,named(Gene_100861402),named(Gene_2260))-1/7
[A] modifier_adv(A,positively,pos)-1/4,predicate(A,correlate_with,named(Gene_2260),named(Gene_253782))-1/7"
9,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D005472))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D000093542))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D017239))-1/4
[A] predicate(A,exist,named(Chemical_MESH_D002945))-1/4
[A] predicate(A,exist,named(Species_9606))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0152))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0186))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0237))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_1119))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0313))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0428))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0480))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_1847))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_1723))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_4056))-1/4
[A] predicate(A,be_compared_with,named(Chemical_MESH_D000093542),named(Chemical_MESH_D017239))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D005472),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D000093542),named(Disease_MESH_D021441))-1/6
[A] predicate(A,treat,named(Chemical_MESH_D017239),named(Disease_MESH_D021441))-1/6"
10,"[A] predicate(A,exist,named(Disease_MESH_D021441))-1/4
[A] predicate(A,exist,named(Disease_MESH_D010190))-1/4
[A] predicate(A,exist,named(Disease_MESH_D009369))-1/4
[A] predicate(A,exist,named(Disease_MESH_D064420))-1/4
[A] predicate(A,exist,named(Chemical_MESH_C575255))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_1723))-1/4
[A] predicate(A,exist,named(CellLine_CVCL_0186))-1/4
[A] predicate(A,exist,named(Gene_7291))-1/4
[A] predicate(A,exist,named(Gene_3570))-1/4
[A] predicate(A,exist,named(Gene_10014))-1/4
[A] predicate(A,exist,named(Gene_8320))-1/4
[A] predicate(A,exist,named(Gene_9734))-1/4
[A] modifier_adv(A,negatively,pos)-1/4,predicate(A,correlate_with,named(Chemical_MESH_C575255),named(Gene_9734))-1/7"
